Org Code,Org name,Region,Total Attendances,Total Over 4hrs,Pct Within 4hrs,Total Emergency Admissions,Waited 4-12hrs DTA,Waited 12+hrs DTA
RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE,16038,3147,80.37785260007482,4783,353,65
RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,EAST OF ENGLAND,16414,3149,80.81515779212867,5330,913,14
RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE,15944,2970,81.3723030607125,3146,1617,145
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE,13580,2145,84.20471281296024,3913,594,83
RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,NORTH WEST,6012,823,86.31071190951431,1135,0,0
RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE,22516,3062,86.40078166637059,4377,99,0
REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,NORTH WEST,1575,164,89.58730158730158,130,0,0
RY7,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,NORTH WEST,2775,281,89.87387387387388,0,0,0
NNF09,BRANSHOLME HEALTH CENTRE,NORTH EAST AND YORKSHIRE,3624,266,92.66004415011038,0,0,0
RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE,4619,305,93.39683914267157,1158,3,0
NNF94,EAST RIDING COMMUNITY HOSPITAL,NORTH EAST AND YORKSHIRE,2419,138,94.29516329061596,0,0,0
RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,LONDON,5617,271,95.17536051272921,234,0,0
NTPAD,PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH,SOUTH EAST,4866,227,95.33497739416359,0,0,0
RY8,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,MIDLANDS,6814,212,96.88875843850894,0,0,0
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,SOUTH EAST,3872,118,96.95247933884298,0,0,0
RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,LONDON,1623,40,97.53542821934688,0,0,0
RW4,MERSEY CARE NHS FOUNDATION TRUST,NORTH WEST,13161,314,97.61416305751843,42,0,0
DT301,HERTS URGENT CARE (ASCOTS LANE),EAST OF ENGLAND,1941,37,98.09376609994848,0,0,0
RY5,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,MIDLANDS,7660,146,98.09399477806788,0,0,0
NNF16,BRIDLINGTON HOSPITAL,NORTH EAST AND YORKSHIRE,1283,23,98.20732657833203,0,0,0
NNJ13,MELTON MOWBRAY,MIDLANDS,59,1,98.30508474576271,0,0,0
RYX,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,LONDON,11622,195,98.3221476510067,0,0,0
NNJ15,OAKHAM,MIDLANDS,62,1,98.38709677419355,0,0,0
RW1,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,SOUTH EAST,2858,43,98.49545136459062,131,0,0
NLX,SIRONA CARE & HEALTH,SOUTH WEST,7859,116,98.5239852398524,0,0,0
RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,SOUTH WEST,1859,27,98.54760623991393,0,0,0
NTP11,PRACTICE PLUS GROUP HOSPITAL - SOUTHAMPTON,SOUTH EAST,5146,71,98.62028760202098,0,0,0
NNFA7,GOOLE & DISTRICT HOSPITAL,NORTH EAST AND YORKSHIRE,1571,21,98.66327180140038,0,0,0
RTQ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,SOUTH WEST,7989,105,98.68569282763801,28,0,0
NTV0B,ASHFORD WALK-IN-CENTRE,SOUTH EAST,2350,28,98.80851063829788,0,0,0
RDR,SUSSEX COMMUNITY NHS FOUNDATION TRUST,SOUTH EAST,11207,126,98.87570268582137,0,0,0
RY2,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,NORTH WEST,3061,33,98.921920940869,0,0,0
RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,SOUTH EAST,1325,14,98.94339622641509,34,0,0
NQT1I,CHIPPENHAM COMMUNITY HOSPITAL,SOUTH WEST,1504,14,99.06914893617021,0,0,0
NTV0W,WOKING WALK IN CENTRE,SOUTH EAST,2724,22,99.19236417033774,0,0,0
NDJ,FIRST COMMUNITY HEALTH AND CARE CIC,SOUTH EAST,2236,17,99.23971377459749,0,0,0
NNJ07,LOUGHBOROUGH URGENT CARE CENTRE,MIDLANDS,5147,37,99.28113464153876,0,0,0
RY4,HERTFORDSHIRE COMMUNITY NHS TRUST,EAST OF ENGLAND,1040,7,99.32692307692308,0,0,0
RYY,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,SOUTH EAST,6460,38,99.41176470588235,0,0,0
NNJ,DHU HEALTH CARE C.I.C,MIDLANDS,1937,11,99.43211151264842,0,0,0
NNJ0H,LLR EA - THE MERLYN VAZ HEALTH & SOCIAL CARE CENTRE,MIDLANDS,207,1,99.51690821256038,0,0,0
AQN04,PHL LYMINGTON UTC,SOUTH EAST,2705,13,99.51940850277265,0,0,0
NQT5H,PAULTON MEMORIAL HOSPITAL,SOUTH WEST,1043,5,99.52061361457335,0,0,0
K6K0R,HAROLD WOOD POLYCLINIC UTC,LONDON,2911,13,99.55341806939197,0,0,0
G0Q0L,BARKING HOSPITAL UTC,LONDON,2520,10,99.60317460317461,0,0,0
ARN03,LOCAL CARE DIRECT,NORTH EAST AND YORKSHIRE,2462,9,99.6344435418359,0,0,0
NNJ14,OADBY,MIDLANDS,551,2,99.63702359346642,0,0,0
RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,SOUTH EAST,1167,4,99.65724078834619,470,0,0
NQT5F,SKELMERSDALE WALK IN CENTRE,NORTH WEST,1552,4,99.74226804123711,0,0,0
AD913,BECKENHAM BEACON UCC,LONDON,3343,7,99.79060723900687,0,0,0
G3P9C,TROWBRIDGE MINOR INJURIES UNIT,SOUTH WEST,1052,2,99.80988593155894,0,0,0
R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,MIDLANDS,2888,5,99.82686980609418,0,0,0
AAH,TETBURY HOSPITAL TRUST LTD,SOUTH WEST,589,1,99.830220713073,0,0,0
NV693,ROSSENDALE MIU & OOH,NORTH WEST,854,1,99.88290398126463,0,0,0
RV9,HUMBER TEACHING NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE,879,1,99.88623435722411,0,0,0
Y02532,MIRIAM MINOR EMERGENCY,NORTH WEST,1700,0,100.0,0,0,0
C82038,LATHAM HOUSE MEDICAL PRACTICE,MIDLANDS,322,0,100.0,0,0,0
AJN,WORKINGTON HEALTH LIMITED,NORTH EAST AND YORKSHIRE,361,0,100.0,0,0,0
Y02428,PUTNOE WALK IN CENTRE,EAST OF ENGLAND,2871,0,100.0,0,0,0
L83087,OKEHAMPTON MEDICAL CENTRE,SOUTH WEST,62,0,100.0,0,0,0
NL7,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),MIDLANDS,3237,0,100.0,0,0,0
C83023,SLEAFORD MEDICAL GROUP,MIDLANDS,561,0,100.0,3,0,0
AQM01,FAVERSHAM MEDICAL PRACTICE MIU,SOUTH EAST,3162,0,100.0,0,0,0
Y03218,THE PINN UNREGISTERED WIC,LONDON,897,0,100.0,0,0,0
Y02676,BRIGHTON STATION HEALTH CENTRE,SOUTH EAST,1838,0,100.0,0,0,0
C82009,MARKET HARBOROUGH MED.CTR,MIDLANDS,219,0,100.0,0,0,0
NQTE4,SUMMERFIELD URGENT CARE CENTRE,MIDLANDS,2840,0,100.0,0,0,0
NVE43,HASTINGS GP LED HEALTH CENTRE,SOUTH EAST,1059,0,100.0,0,0,0
NNJ12,MARKET HARBOROUGH,MIDLANDS,106,0,100.0,0,0,0
ACH01,WHITSTABLE MEDICAL PRACTICE,SOUTH EAST,4990,0,100.0,0,0,0
DJV01,HERNE BAY HEALTH CARE LTD,SOUTH EAST,2650,0,100.0,0,0,0
Y02615,SOUTH BIRMINGHAM GP WALK IN CENTRE,MIDLANDS,3507,0,100.0,0,0,0
